"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Register page","","0","0","1","0","0"
"","Login","","0","0","7","0","0"
"","Already register link","","0","0","1","0","0"
"","Login field error","","0","0","5","0","0"
"","Password field error","","1","0","6","0","0"
"","Email field error","","0","0","5","0","0"
"","Return link","","0","0","1","0","0"
"","Open Site","","0","0","1","0","0"
"","Email validation","","0","0","2","0","0"
"","exist user registration error","","0","0","3","0","0"
"","","","0","0","2","0","0"
"","Open Recovery","","0","0","1","0","0"
