"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 24 16:57:28 CEST 2023","Sun Sep 24 16:57:32 CEST 2023","4693","TESTS","Register Page","TestRegisterPage","","","Verify Login Field on Register Page","
    Verify the login field on the Register Page with different values.
    If value is no valid, proper error message should be displayed.

    Precondition:
    - User is on the Register Page.

    Expected Result:
    - If value is not match with proper requirements for login,
    an error message should be displayed as specified in 'error'.
    "
"passed","Sun Sep 24 16:57:12 CEST 2023","Sun Sep 24 16:57:17 CEST 2023","4734","TESTS","Register Page","TestRegisterPage","","","Verify Email Field on Register Page","
    Verify the email field on the Register Page with different values.
    If value is no valid, proper error message should be displayed.

    Precondition:
    - User is on the Register Page.

    Expected Result:
    - If value is not match with proper requirements for email,
    an error message should be displayed as specified in 'error'.
    "
"passed","Sun Sep 24 16:56:42 CEST 2023","Sun Sep 24 16:56:46 CEST 2023","3589","TESTS","Register Page","TestRegisterPage","","","Check Already Registered Page","
    Click on the ""Already Registered"" link and check the redirection, back to Start page.
    
    Preconditions:
        
    Expected result:
    - User redirected back start page after click 'Already Registered' link on registration page. 
    "
"passed","Sun Sep 24 16:57:35 CEST 2023","Sun Sep 24 16:58:08 CEST 2023","32808","TESTS","Register Page","TestRegisterPage","","","Verify Login Field on Register Page","
    Verify the login field on the Register Page with different values.
    If value is no valid, proper error message should be displayed.

    Precondition:
    - User is on the Register Page.

    Expected Result:
    - If value is not match with proper requirements for login,
    an error message should be displayed as specified in 'error'.
    "
"passed","Sun Sep 24 16:57:04 CEST 2023","Sun Sep 24 16:57:09 CEST 2023","4719","TESTS","Register Page","TestRegisterPage","","","Verify Email Field on Register Page","
    Verify the email field on the Register Page with different values.
    If value is no valid, proper error message should be displayed.

    Precondition:
    - User is on the Register Page.

    Expected Result:
    - If value is not match with proper requirements for email,
    an error message should be displayed as specified in 'error'.
    "
"passed","Sun Sep 24 17:02:28 CEST 2023","Sun Sep 24 17:02:36 CEST 2023","7772","TESTS","Start Page","TestStartPage","","","Start Page Login with Valid Credentials","
    Attempt to log in using valid user credentials on the Start page.

    Precondition:
    - Navigate to the Start page.

    Expected Result:
    - Login with valid credentials passes.
    "
"passed","Sun Sep 24 16:57:20 CEST 2023","Sun Sep 24 16:57:24 CEST 2023","4744","TESTS","Register Page","TestRegisterPage","","","Verify Email Field on Register Page","
    Verify the email field on the Register Page with different values.
    If value is no valid, proper error message should be displayed.

    Precondition:
    - User is on the Register Page.

    Expected Result:
    - If value is not match with proper requirements for email,
    an error message should be displayed as specified in 'error'.
    "
"passed","Sun Sep 24 17:02:23 CEST 2023","Sun Sep 24 17:02:25 CEST 2023","2149","TESTS","Start Page","TestStartPage","","","Open Start Page","
    Go to the start page of the website and verify the presence of essential elements.

    Precondition:
    - Navigate to the start page.

    Expected Result:
    - The start page opens successfully in the browser.
    - All necessary elements are visible.
    "
"passed","Sun Sep 24 17:01:29 CEST 2023","Sun Sep 24 17:01:49 CEST 2023","19868","TESTS","Register Page","TestRegisterPage","","","Verify Password Confirmation Field on Register Page","
    Verify the password confirmation field on the Register Page.

    Precondition:
    - User is on the Register Page.

    Expected Result:
    - If values is not match in both fields (for password and confirm),
    an error message should be displayed as specified in 'error'.
    "
"passed","Sun Sep 24 17:02:45 CEST 2023","Sun Sep 24 17:02:47 CEST 2023","2328","TESTS","Start Page","TestStartPage","","","Start Page Login with Invalid Credentials","
    Attempt to log in using various combinations of invalid credentials on the Start page.

    Precondition:
    - Navigate to the Start page.

    Expected Result:
    - Login with invalid credentials fails.
    - The login error message is displayed for invalid login and/or password combinations and empty fields.
    "
"passed","Sun Sep 24 16:56:02 CEST 2023","Sun Sep 24 16:56:06 CEST 2023","3366","TESTS","Recovery Page","TestRecoveryPage","","","Open Recovery Page","
    Redirect back to start page after 'return back' link click.

    Precondition:

    Expected Result:
    - User redirected back to start page after 'return back' link click.
    "
"passed","Sun Sep 24 17:02:01 CEST 2023","Sun Sep 24 17:02:11 CEST 2023","10487","TESTS","Register Page","TestRegisterPage","","","Register with Existing User","
    Attempt to register with an existing user's credentials.
    Proper error message should be showed.

    Precondition:
    - User is on the Register Page.
    - User is all ready registered in the system.

    PostCondition:
    - User is not re registered.
    - User is on the Registration Page.

    Expected Result:
    - Registration should not be successful.
    - Error message should be showed if user use exist login or email.
    "
"passed","Sun Sep 24 16:59:45 CEST 2023","Sun Sep 24 16:59:49 CEST 2023","4743","TESTS","Register Page","TestRegisterPage","","","Verify Password Field on Register Page","
    Verify the password field on the Register Page with different values.
    If value is no valid, proper error message should be displayed.

    Precondition:
    - User is on the Register Page.

    Expected Result:
    - If value is not match with proper requirements for password,
    an error message should be displayed as specified in 'error'.
    "
"passed","Sun Sep 24 16:56:49 CEST 2023","Sun Sep 24 16:56:54 CEST 2023","4814","TESTS","Register Page","TestRegisterPage","","","Verify Email Field on Register Page","
    Verify the email field on the Register Page with different values.
    If value is no valid, proper error message should be displayed.

    Precondition:
    - User is on the Register Page.

    Expected Result:
    - If value is not match with proper requirements for email,
    an error message should be displayed as specified in 'error'.
    "
"passed","Sun Sep 24 16:59:08 CEST 2023","Sun Sep 24 16:59:23 CEST 2023","14893","TESTS","Register Page","TestRegisterPage","","","Verify Login Field on Register Page","
    Verify the login field on the Register Page with different values.
    If value is no valid, proper error message should be displayed.

    Precondition:
    - User is on the Register Page.

    Expected Result:
    - If value is not match with proper requirements for login,
    an error message should be displayed as specified in 'error'.
    "
"passed","Sun Sep 24 17:02:55 CEST 2023","Sun Sep 24 17:02:58 CEST 2023","2526","TESTS","Start Page","TestStartPage","","","Start Page Login with Invalid Credentials","
    Attempt to log in using various combinations of invalid credentials on the Start page.

    Precondition:
    - Navigate to the Start page.

    Expected Result:
    - Login with invalid credentials fails.
    - The login error message is displayed for invalid login and/or password combinations and empty fields.
    "
